Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
MK962332.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962333.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962334.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962335.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962336.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MN116647.1,Aichivirus A,,Aichivirus A,Kobuvirus,Hungary,Rattus norvegicus,0,2018,0
MN336260.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,USA,Bos taurus,0,2019,0
MN337880.1,Canine kobuvirus,,Canine kobuvirus,Kobuvirus,Germany,Vulpes vulpes,0,2016,0
MN449341.1,Canine kobuvirus,CaKoV AH-1/CHN/2019,Canine kobuvirus,Kobuvirus,China,Canis lupus familiaris,0,2019,0
MN604700.1,Caprine kobuvirus,MN1/2018,Aichivirus C,Kobuvirus,USA,Capra hircus,0,2017,0
MN807751.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa domesticus,0,2013,0
MT125682.1,Porcine kobuvirus,swine/JX-1/2013/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2013,0
MT125683.1,Porcine kobuvirus,swine/JX-2/2013/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2013,0
MT125684.1,Porcine kobuvirus,swine/JX-3/2013/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2013,0
MT125685.1,Porcine kobuvirus,swine/HBYT/2018/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2018,0
MT211964.1,Porcine kobuvirus,EdoMex/2018/205,Aichivirus C,Kobuvirus,Mexico,Sus scrofa,0,2018,0
MT584793.1,Caprine kobuvirus,CKoV-China/SWUN/F11/2019,Aichivirus C,Kobuvirus,China,Capra hircus,0,2019,0
MT766372.1,Kobuvirus sp.,CHN/XJ/env/2018/ht8-ctg1,Kobuvirus sp.,Kobuvirus,China,Wastewater,0,2018,0
MW296158.1,Ovine kobuvirus,SKoV-China/SWUN/AB18/2019,Ovine kobuvirus,Kobuvirus,China,Ovis aries,0,2019,0
MW605074.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,Canada,Bos taurus,0,2021,0
MZ334483.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Germany,Sus scrofa,0,2018,0
MZ603734.1,Bovine kobuvirus,BKoV/CN/HB-SJZ/2021,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,0,1981,0
NC_001918.1,Aichi virus 1,A846/88,Aichivirus A,Kobuvirus,Japan,Homo sapiens,0,1998,0
NC_004421.1,Aichivirus B,,Aichivirus B,Kobuvirus,Japan,Bos taurus,0,2002,0
NC_011829.1,Porcine kobuvirus swine/S-1-HUN/2007/Hungary,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,0,2007,0
NC_015936.1,Mouse kobuvirus M-5/USA/2010,,Mouse kobuvirus M-5/USA/2010,Kobuvirus,USA,Peromyscus crinitus,0,2010,0
