Accession,Organism_Name,Isolate,Species,Genus,Family,Country,Host,Collection_Date
NC_026249.1,Bovine picornavirus,TCH6,Bopivirus A,Bopivirus,Picornaviridae,USA,Bos taurus,2013
NC_028981.1,Tupaia hepatovirus A,TN1,Tupaia hepatovirus A,Hepatovirus,Picornaviridae,China,Tupaia chinensis,2012-01-01
NC_075994.1,Potamipivirus A,TSPV,Potamipivirus A,Potamipivirus,Picornaviridae,USA,Gasterosteus aculeatus,2016-06-10
NC_006553.1,anativirus A1,TW90A,Anativirus A,Anativirus,Picornaviridae,,,
NC_023988.1,Tortoise rafivirus A,UF4,Tortoise rafivirus A,,Picornaviridae,USA,Indotestudo forstenii,2009
NC_038304.1,Turkey avisivirus,USA-IN1,Avisivirus A,Avisivirus,Picornaviridae,USA,Meleagris gallopavo,2010-10-01
NC_008714.1,enterovirus F4,W1,Enterovirus F,Enterovirus,Picornaviridae,,,
NC_075280.1,Picornaviridae sp.,yc-1,Picornaviridae sp.,,Picornaviridae,China,Grus japonensis,14-Dec
NC_075987.1,gruhelivirus A1,yc-2,Gruhelivirus A,Gruhelivirus,Picornaviridae,China,Grus japonensis,14-Dec
NC_075281.1,grusopivirus A1,yc-5,Grusopivirus A,Grusopivirus,Picornaviridae,China,Grus japonensis,14-Dec
NC_075282.1,grusopivirus B1,yc-6,Grusopivirus B,Grusopivirus,Picornaviridae,China,Grus japonensis,14-Dec
NC_023861.2,Sicinivirus A,,Sicinivirus A,Sicinivirus,Picornaviridae,Ireland,Gallus gallus,
NC_023858.1,Melegrivirus A,,Melegrivirus A,Megrivirus,Picornaviridae,Hungary,Meleagris gallopavo,2011
NC_024120.1,megrivirus A2,,Megrivirus A,Megrivirus,Picornaviridae,,Anas platyrhynchos,
NC_039235.1,Chicken megrivirus,,Megrivirus C,Megrivirus,Picornaviridae,Hungary,Gallus gallus,2012
NC_027214.1,Ampivirus A1,,Ampivirus A,Ampivirus,Picornaviridae,Hungary,Lissotriton vulgaris,13-Mar
NC_076005.1,pemapivirus B1,,Pemapivirus B,Pemapivirus,Picornaviridae,China,Mauremys megalocephala,
NC_076508.1,pemapivirus A1,,Pemapivirus A,Pemapivirus,Picornaviridae,China,Pelodiscus sinensis,
NC_036588.1,Passerivirus sp.,,Passerivirus sp.,Passerivirus,Picornaviridae,Hungary,,2014-11-14
NC_031106.1,Rosavirus C,,Rosavirus C,Rosavirus,Picornaviridae,Hong Kong,Rattus andamanensis,2009-03-24
NC_038957.1,pigeon mesivirus 1,,Megrivirus B,Megrivirus,Picornaviridae,Hong Kong,Columbidae,2011
NC_021201.1,Turkey hepatitis virus 2993D,,Melegrivirus A,Megrivirus,Picornaviridae,USA,Meleagris gallopavo,
NC_023985.1,Duck aalivirus 1,,Aalivirus A,Aalivirus,Picornaviridae,China,Anas platyrhynchos,2012-10-10
NC_030843.1,Washington bat picornavirus,,Washington bat picornavirus,,Picornaviridae,USA,,2016-04-22
NC_031105.1,Rosavirus B,,Rosavirus B,Rosavirus,Picornaviridae,Hong Kong,Rattus norvegicus,2009-02-06
NC_024070.1,Rosavirus A2,,Rosavirus A,Rosavirus,Picornaviridae,Gambia,Homo sapiens,2008-10-29
NC_075425.1,Rosavirus C,,Rosavirus C,Rosavirus,Picornaviridae,Hong Kong,Rattus andamanensis,2008-11-13
NC_040611.1,cadicivirus B1,,Cadicivirus B,Dicipivirus,Picornaviridae,Hungary,Erinaceus roumanicus,15-Apr
NC_003983.1,Equine rhinitis B virus 1,,Erbovirus A,Erbovirus,Picornaviridae,,Equus caballus,
NC_021178.1,Canine picodicistrovirus,,Cadicivirus A,Dicipivirus,Picornaviridae,Hong Kong,Canis lupus familiaris,2008
NC_038880.1,rosavirus A1,,Rosavirus A,Rosavirus,Picornaviridae,USA,Peromyscus crinitus,2010
NC_034617.1,megrivirus D1,,Megrivirus D,Megrivirus,Picornaviridae,Hungary,Circus aeruginosus,2014
NC_028964.1,Gallivirus Pf-CHK1/GV,,Gallivirus Pf-CHK1/GV,Gallivirus,Picornaviridae,Hungary,Gallus gallus,2013
NC_027918.1,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,,Aichivirus D,Kobuvirus,Picornaviridae,Japan,Bos taurus,2015-02-02
NC_018400.1,gallivirus A1,,Gallivirus A,Gallivirus,Picornaviridae,Hungary,Meleagris gallopavo,11-Apr
NC_034381.1,mischivirus A1,,Mischivirus A,Mischivirus,Picornaviridae,China,Miniopterus schreibersii,10-Dec
NC_023987.1,Mosavirus A2,,Mosavirus A,Mosavirus,Picornaviridae,Hungary,Coracias garrulus,11-Jul
NC_004421.1,Aichivirus B,,Aichivirus B,Kobuvirus,Picornaviridae,,Bos taurus,
NC_076218.1,tropivirus B1,,Tropivirus B,Tropivirus,Picornaviridae,China,Teratoscincus roborowskii,
NC_076217.1,Wenling chelidoperca picornavirus,,Fipivirus F,Fipivirus,Picornaviridae,China,Chelidoperca sp.,
NC_076245.1,Zebrafish picornavirus 1,,Cyprivirus A,,Picornaviridae,USA,Danio rerio,2017
NC_074775.1,Aichi virus 1,,Aichivirus A,Kobuvirus,Picornaviridae,,,
NC_011829.1,Porcine kobuvirus swine/S-1-HUN/2007/Hungary,,Aichivirus C,Kobuvirus,Picornaviridae,Hungary,Sus scrofa,2007
NC_075992.1,anativirus B1,,Anativirus B,Anativirus,Picornaviridae,Hungary,Gallus gallus,2013
NC_015936.1,Mouse kobuvirus M-5/USA/2010,,Mouse kobuvirus M-5/USA/2010,Kobuvirus,Picornaviridae,USA,Peromyscus crinitus,2010
NC_076009.1,Wenling banjofish picornavirus 1,,Fipivirus E,Fipivirus,Picornaviridae,China,Banjos banjos,
NC_076017.1,Marmot mosavirus,,Marmot mosavirus,Mosavirus,Picornaviridae,China,Marmota himalayana,2013
NC_016403.1,Quail picornavirus QPV1/HUN/2010,,Quail picornavirus QPV1/HUN/2010,,Picornaviridae,Hungary,Coturnix coturnix,10-Jul
